,name,firstName,lastName,party,role,ccid,district,chamber,state
83,Dana Trabulsy,Dana,Trabulsy,R,Representative,12084L,84,House,Florida
84,Toby Overdorf,Toby,Overdorf,R,Representative,12085L,85,House,Florida
85,John Snyder,John,Snyder,R,Representative,12086L,86,House,Florida
86,Mike Caruso,Mike,Caruso,R,Representative,12087L,87,House,Florida
87,Jervonte Edmonds,Jervonte,Edmonds,R,Representative,12088L,88,House,Florida
88,David Silvers,David,Silvers,R,Representative,12089L,89,House,Florida
89,Joseph Casello,Joseph,Casello,R,Representative,12090L,90,House,Florida
90,Peggy Gossett-Seidman,Peggy,Gossett-Seidman,R,Representative,12091L,91,House,Florida
91,Kelly Skidmore,Kelly,Skidmore,R,Representative,12092L,92,House,Florida
92,Katherine Waldron,Katherine,Waldron,R,Representative,12093L,93,House,Florida
93,Rick Roth,Rick,Roth,R,Representative,12094L,94,House,Florida
94,Christine Hunschofsky,Christine,Hunschofsky,R,Representative,12095L,95,House,Florida
95,Dan Daley,Dan,Daley,R,Representative,12096L,96,House,Florida
96,Lisa Dunkley,Lisa,Dunkley,R,Representative,12097L,97,House,Florida
97,Patricia Hawkins-Williams,Patricia,Hawkins-Williams,R,Representative,12098L,98,House,Florida
98,Daryl Campbell,Daryl,Campbell,R,Representative,12099L,99,House,Florida
99,Chip LaMarca,Chip,LaMarca,R,Representative,12100L,100,House,Florida
100,Hillary Cassel,Hillary,Cassel,R,Representative,12101L,101,House,Florida
101,Michael Gottlieb,Michael,Gottlieb,R,Representative,12102L,102,House,Florida
102,Robin Bartleman,Robin,Bartleman,R,Representative,12103L,103,House,Florida
103,Felicia Robinson,Felicia,Robinson,R,Representative,12104L,104,House,Florida
104,Marie Woodson,Marie,Woodson,R,Representative,12105L,105,House,Florida
105,Fabian Basabe,Fabian,Basabe,R,Representative,12106L,106,House,Florida
106,Christopher Benjamin,Christopher,Benjamin,R,Representative,12107L,107,House,Florida
107,Dotie Joseph,Dotie,Joseph,R,Representative,12108L,108,House,Florida
108,Ashley Gantt,Ashley,Gantt,R,Representative,12109L,109,House,Florida
109,Tom Fabricio,Tom,Fabricio,R,Representative,12110L,110,House,Florida
110,David Borrero,David,Borrero,R,Representative,12111L,111,House,Florida
111,Alex Rizo,Alex,Rizo,R,Representative,12112L,112,House,Florida
112,Vicki Lopez,Vicki,Lopez,R,Representative,12113L,113,House,Florida
113,Demi Busatta Cabrera,Demi,Busatta Cabrera,R,Representative,12114L,114,House,Florida
114,Alina Garcia,Alina,Garcia,R,Representative,12115L,115,House,Florida
115,Daniel Perez,Daniel,Perez,R,Representative,12116L,116,House,Florida
116,Kevin Chambliss,Kevin,Chambliss,R,Representative,12117L,117,House,Florida
117,Juan Fernandez-Barquin,Juan,Fernandez-Barquin,R,Representative,12118L,118,House,Florida
118,Juan Porras,Juan,Porras,R,Representative,12119L,119,House,Florida
119,James Mooney,James,Mooney,R,Representative,12120L,120,House,Florida
